rental	Album	abetco
4.00 stars	Angel Olsen - MY WOMAN	2.00 stars
4.00 stars	IDLES - Brutalism	1.50 stars
4.50 stars	Tyler, the Creator - Flower Boy	3.00 stars
5.00 stars	Brockhampton - Saturation II	3.00 stars
3.00 stars	The Voidz - Virtue	1.00 stars
3.50 stars	Kali Uchis - Isolation	2.00 stars
3.50 stars	Iceage - Beyondless	2.00 stars
4.00 stars	Tropical Fuck Storm - A Laughing Death in Meatspace	2.50 stars
4.50 stars	Parquet Courts - Wide Awaaaaake!	2.50 stars
3.50 stars	Snail Mail - Lush	1.50 stars
4.00 stars	Mitski - Be the Cowboy	2.50 stars
4.00 stars	Stella Donnelly - Beware of the Dogs	2.00 stars
3.00 stars	Vampire Weekend - Father of the Bride	1.50 stars
3.50 stars	Palm - Rock Island	2.00 stars
4.00 stars	Ariel Pink - Pom Pom	2.50 stars
3.50 stars	Pink Floyd - The Dark Side of the Moon	2.00 stars
4.00 stars	Ramones - Ramones	2.00 stars
3.50 stars	The Smiths - Hatful of Hollow	2.00 stars
4.50 stars	Smith Westerns - Dye It Blonde	3.00 stars
