rental	Album	abetco
4.00 stars	Wire - Chairs Missing	4.00 stars
4.00 stars	Devo - Q: Are We Not Men? A: We Are Devo!	4.00 stars
3.50 stars	Lizzy Mercier Descloux - Press Color	3.00 stars
4.00 stars	The Pop Group - Y	3.00 stars
3.50 stars	Joy Division - Unknown Pleasures	3.00 stars
4.00 stars	Suicide - Alan Vega · Martin Rev	3.00 stars
3.50 stars	Young Marble Giants - Colossal Youth	2.50 stars
3.50 stars	Yōran - Montparnasse	3.50 stars
4.00 stars	The Gun Club - Fire of Love	3.00 stars
4.00 stars	This Heat - Deceit	3.50 stars
4.00 stars	Glenn Branca - The Ascension	4.00 stars
3.50 stars	Andie Oppenheimer - New Mexico	3.00 stars
3.50 stars	Solid Space - Space Museum	3.50 stars
3.50 stars	Cleaners From Venus - Midnight Cleaners	4.00 stars
3.00 stars	New Order - Power, Corruption & Lies	3.00 stars
3.50 stars	Prince and The Revolution - Purple Rain	3.00 stars
4.00 stars	Cocteau Twins - Treasure	3.50 stars
3.50 stars	Sonic-Youth - Bad Moon Rising	3.00 stars
3.50 stars	The Jesus and Mary Chain - Psychocandy	3.50 stars
3.50 stars	Sonic Youth - EVOL	3.00 stars
3.50 stars	Big Black - Songs About Fucking	3.00 stars
3.00 stars	Nuno Canavarro - Plux Quba	3.50 stars
4.00 stars	Galaxie 500 - Today	3.50 stars
4.00 stars	Sonic Youth - Daydream Nation	3.50 stars
3.50 stars	My Bloody Valentine - Isn't Anything	3.00 stars
4.00 stars	Fushitsusha - 1st	4.00 stars
4.50 stars	Pixies - Doolittle	3.50 stars
3.50 stars	Beastie Boys - Paul's Boutique	3.50 stars
3.50 stars	Sonic Youth - Goo	3.50 stars
5.00 stars	Slint - Spiderland	4.00 stars
3.00 stars	Slowdive - Just for a Day	3.00 stars
3.50 stars	Red House Painters - Down Colorful Hill	2.50 stars
3.50 stars	Swirlies - Blonder Tongue Audio Baton	3.00 stars
3.50 stars	Slowdive - Souvlaki	4.00 stars
4.00 stars	Unwound - Fake Train	3.00 stars
4.50 stars	Yo La Tengo - Painful	3.50 stars
3.00 stars	Eric's Trip - Love Tara	3.00 stars
4.00 stars	Low - I Could Live in Hope	3.00 stars
4.00 stars	Disco Inferno - D. I. Go Pop	4.00 stars
3.50 stars	Unwound - New Plastic Ideas	3.50 stars
3.50 stars	Bedhead - WhatFunLifeWas	3.50 stars
4.00 stars	Oval - 94 Diskont	3.50 stars
3.00 stars	Slowdive - Pygmalion	3.50 stars
3.50 stars	Unwound - The Future of What	4.00 stars
4.50 stars	Three-6 Mafia - Mystic Stylez	4.00 stars
3.50 stars	Sonic Youth - Washing Machine	3.00 stars
3.50 stars	Autechre - Tri repetae	3.50 stars
3.50 stars	Ground-Zero - 革命京劇 Revolutionary Pekinese Opera Ver.1.28 (Kakumeikyōgeki)	4.00 stars
3.50 stars	Swirlies - They Spent Their Wild Youthful Days in the Glittering World of the Salons	3.50 stars
3.50 stars	Unwound - Repetition	4.00 stars
3.50 stars	Swans - Soundtracks for the Blind	4.00 stars
3.00 stars	Fishmans - Long Season	4.00 stars
3.50 stars	Labradford - Labradford	3.50 stars
4.00 stars	Belle and Sebastian - If You're Feeling Sinister	3.00 stars
3.50 stars	DJ Shadow - Endtroducing.....	3.50 stars
3.00 stars	Elliott Smith - Either / Or	3.50 stars
4.00 stars	Yo La Tengo - I Can Hear the Heart Beating as One	4.00 stars
3.00 stars	Spiritualized® - Ladies and Gentlemen We Are Floating in Space	3.00 stars
3.50 stars	Modest Mouse - The Lonesome Crowded West	3.00 stars
3.50 stars	Labradford - Mi media naranja	3.00 stars
3.50 stars	Duster - Stratosphere	4.50 stars
3.50 stars	Boards of Canada - Music Has the Right to Children	3.00 stars
3.00 stars	Mercury Rev - Deserter's Songs	3.00 stars
3.00 stars	Built to Spill - Keep It Like a Secret	3.50 stars
4.00 stars	Triple Six Mafia - Underground Vol. 1: 1991-1994	4.00 stars
4.00 stars	Black Tambourine - Complete Recordings	4.00 stars
3.00 stars	Sigur Rós - Ágætis byrjun	3.50 stars
3.50 stars	The Dismemberment Plan - Emergency & I	3.00 stars
4.00 stars	Jim O'Rourke - Halfway to a Threeway	3.00 stars
3.50 stars	Yo La Tengo - And Then Nothing Turned Itself Inside-Out	4.00 stars
3.50 stars	Avey Tare and Panda Bear - Spirit They're Gone Spirit They've Vanished	3.50 stars
3.50 stars	Godspeed You Black Emperor! - Lift Yr. Skinny Fists Like Antennas to Heaven!	3.50 stars
3.50 stars	Jan Jelinek - Loop-finding-jazz-records	4.00 stars
4.00 stars	Unwound - Leaves Turn Inside You	4.50 stars
3.00 stars	pageninetynine - Document #8	3.00 stars
3.00 stars	Tim Hecker - Haunt Me, Haunt Me Do It Again	4.00 stars
3.00 stars	Michael Mayer - Immer	3.00 stars
3.50 stars	Akufen - My Way	3.00 stars
3.00 stars	Carissa's Wierd - Songs About Leaving	3.50 stars
4.00 stars	Broken Social Scene - You Forgot It in People	4.00 stars
3.50 stars	The Microphones - Mount Eerie	3.50 stars
3.50 stars	Lightning Bolt - Wonderful Rainbow	3.50 stars
3.00 stars	Sweet Trip - Velocity : Design : Comfort	3.50 stars
4.00 stars	Madvillain - Madvillainy	3.50 stars
3.50 stars	Animal Collective - Sung Tongs	3.50 stars
3.50 stars	Black Dice - Creature Comforts	4.00 stars
3.00 stars	Mount Eerie - No Flashlight: Songs of the Fulfilled Night	3.00 stars
4.00 stars	Sufjan Stevens - Illinois	3.50 stars
