rental	Album	eccojam
4.50 stars	Pixies - Doolittle	4.00 stars
3.50 stars	Godflesh - Streetcleaner	3.00 stars
3.50 stars	Sonic Youth - Goo	4.00 stars
3.50 stars	Slowdive - Souvlaki	4.00 stars
3.50 stars	Weezer - Weezer [Blue Album]	4.00 stars
3.50 stars	Portishead - Dummy	4.00 stars
4.00 stars	Oval - 94 Diskont	3.50 stars
3.50 stars	Sonic Youth - Washing Machine	4.00 stars
3.50 stars	Księżyc - Księżyc	4.00 stars
3.00 stars	Burzum - Filosofem	4.00 stars
4.00 stars	Weezer - Pinkerton	4.00 stars
4.00 stars	Aphex Twin - Richard D. James Album	3.50 stars
3.00 stars	Spiritualized® - Ladies and Gentlemen We Are Floating in Space	3.50 stars
3.50 stars	lowercase - Kill the Lights	3.50 stars
4.00 stars	Eliane Radigue - Trilogie de la mort	4.50 stars
3.50 stars	GAS - Zauberberg	3.00 stars
3.50 stars	Duster - Stratosphere	3.50 stars
3.50 stars	Boards of Canada - Music Has the Right to Children	3.50 stars
4.50 stars	Royal Trux - Accelerator	3.50 stars
3.50 stars	GAS - Königsforst	3.00 stars
4.00 stars	Black Tambourine - Complete Recordings	4.00 stars
3.50 stars	The Dismemberment Plan - Emergency & I	3.50 stars
3.50 stars	Avey Tare and Panda Bear - Spirit They're Gone Spirit They've Vanished	3.00 stars
3.50 stars	Godspeed You Black Emperor! - Lift Yr. Skinny Fists Like Antennas to Heaven!	4.00 stars
3.50 stars	Electric Wizard - Dopethrone	4.00 stars
3.00 stars	PJ Harvey - Stories From the City, Stories From the Sea	4.00 stars
3.50 stars	Jan Jelinek - Loop-finding-jazz-records	3.50 stars
4.00 stars	múm - Yesterday Was Dramatic - Today Is OK	3.50 stars
4.50 stars	Fennesz - Endless Summer	3.50 stars
3.00 stars	Björk - Vespertine	4.00 stars
4.00 stars	Converge - Jane Doe	4.00 stars
3.50 stars	Jim O'Rourke - Insignificance	4.00 stars
3.00 stars	Tim Hecker - Haunt Me, Haunt Me Do It Again	3.50 stars
4.50 stars	Xiu Xiu - Knife Play	3.50 stars
3.50 stars	...And You Will Know Us by the Trail of Dead - Source Tags & Codes	3.00 stars
4.50 stars	Wilco - Yankee Hotel Foxtrot	4.00 stars
3.50 stars	Spoon - Kill the Moonlight	4.00 stars
4.00 stars	Interpol - Turn On the Bright Lights	4.50 stars
3.50 stars	Queens of the Stone Age - Songs for the Deaf	3.50 stars
4.00 stars	Broken Social Scene - You Forgot It in People	4.00 stars
3.50 stars	The Microphones - Mount Eerie	4.00 stars
4.50 stars	Xiu Xiu - A Promise	4.00 stars
3.50 stars	Lightning Bolt - Wonderful Rainbow	3.50 stars
4.00 stars	Deerhoof - Apple O'	3.00 stars
3.00 stars	Sleep - Dopesmoker	3.50 stars
4.00 stars	Four Tet - Rounds	3.50 stars
3.00 stars	Sweet Trip - Velocity : Design : Comfort	3.00 stars
3.50 stars	Broadcast - Haha Sound	3.00 stars
4.00 stars	Boris - Boris at Last -Feedbacker-	3.50 stars
3.00 stars	Max Richter - The Blue Notebooks	4.00 stars
3.50 stars	Animal Collective - Sung Tongs	4.00 stars
3.50 stars	The Fiery Furnaces - Blueberry Boat	3.50 stars
2.50 stars	Bloc Party - Silent Alarm	3.50 stars
4.00 stars	Sufjan Stevens - Illinois	4.00 stars
3.50 stars	Mew - And the Glass Handed Kites	3.50 stars
3.50 stars	Lightning Bolt - Hypermagic Mountain	4.00 stars
4.00 stars	Animal Collective - Feels	3.50 stars
4.00 stars	Boris - Pink	4.50 stars
3.50 stars	Ryoji Ikeda - dataplex	3.50 stars
4.50 stars	Coil - The Ape of Naples	4.50 stars
3.50 stars	Sibylle Baier - Colour Green	4.00 stars
3.00 stars	Grizzly Bear - Yellow House	3.50 stars
3.50 stars	Xiu Xiu - The Air Force	3.50 stars
3.00 stars	Wolf Eyes - Human Animal	3.00 stars
3.00 stars	Ben Frost - Theory of Machines	3.00 stars
3.50 stars	Deerhoof - Friend Opportunity	3.50 stars
3.50 stars	Battles - Mirrored	4.00 stars
3.50 stars	The Angelic Process - Weighing Souls With Sand	4.00 stars
3.50 stars	The National - Boxer	4.00 stars
3.00 stars	Spoon - Ga Ga Ga Ga Ga	4.00 stars
3.50 stars	Jens Lekman - Night Falls Over Kortedala	3.50 stars
4.00 stars	Animal Collective - Strawberry Jam	4.00 stars
4.00 stars	Burial - Untrue	3.50 stars
4.00 stars	John Maus - Love Is Real	3.00 stars
4.00 stars	Have a Nice Life - Deathconsciousness	3.50 stars
3.50 stars	Fuck Buttons - Street Horrrsing	3.50 stars
3.50 stars	Beach House - Devotion	4.00 stars
2.50 stars	Cut Copy - In Ghost Colours	3.50 stars
4.50 stars	Fleet Foxes - Fleet Foxes	3.50 stars
4.50 stars	Deerhunter - Microcastle / Weird Era Continued	4.50 stars
4.00 stars	Animal Collective - Merriweather Post Pavilion	4.50 stars
3.00 stars	Fever Ray - Fever Ray	3.00 stars
3.50 stars	Japandroids - Post-Nothing	3.00 stars
3.50 stars	Burial + Four Tet - Moth / Wolf Cub	3.00 stars
3.50 stars	The Horrors - Primary Colours	4.00 stars
3.50 stars	HEALTH - Get Color	2.50 stars
3.50 stars	A Place to Bury Strangers - Exploding Head	3.50 stars
3.00 stars	Converge - Axe to Fall	3.50 stars
3.00 stars	Vampire Weekend - Contra	3.50 stars
3.00 stars	Four Tet - There Is Love in You	3.00 stars
4.50 stars	Beach House - Teen Dream	4.00 stars
3.50 stars	Flying Lotus - Cosmogramma	3.50 stars
4.00 stars	Ariel Pink's Haunted Graffiti - Before Today	3.50 stars
3.00 stars	OPN - Returnal	3.00 stars
3.00 stars	Nails - Unsilent Death	4.00 stars
4.50 stars	Deerhunter - Halcyon Digest	4.00 stars
5.00 stars	Women - Public Strain	4.00 stars
3.50 stars	Kanye West - My Beautiful Dark Twisted Fantasy	4.50 stars
