rental	Album	mohorte
3.00 stars	The UV Race - Racism	3.00 stars
4.00 stars	The Velvet Underground - White Light / White Heat	3.00 stars
4.00 stars	Wand - Golem	3.50 stars
3.50 stars	White Fence - Cyclops Reap	3.50 stars
3.50 stars	White Lung - It's the Evil	2.50 stars
3.50 stars	Whitney - Light Upon the Lake	3.00 stars
3.50 stars	Marlon Williams - Make Way for Love	3.00 stars
3.50 stars	Wolves in the Throne Room - Two Hunters	4.00 stars
3.00 stars	Woollen Kits - Woollen Kits	3.00 stars
4.00 stars	Yo La Tengo - I Am Not Afraid of You and I Will Beat Your Ass	3.50 stars
2.50 stars	Youth Lagoon - The Year of Hibernation	2.50 stars
rental and mohorte disagree: (55)
rental	Album	mohorte
3.00 stars	American Football - American Football	4.50 stars
3.50 stars	The Doors - The Doors	5.00 stars
4.00 stars	Ducktails - The Flower Lane	1.50 stars
3.00 stars	Grimes - Visions	1.50 stars
3.50 stars	Joy Division - Closer	5.00 stars
4.00 stars	Makthaverskan - Makthaverskan II	2.50 stars
3.50 stars	Meat Wave - The Incessant	2.00 stars
3.50 stars	The Microphones - The Glow Pt. 2	5.00 stars
4.50 stars	Milk Music - Mystic 100's	3.00 stars
2.50 stars	Morgen - Morgen	4.00 stars
3.50 stars	Miles Davis - Kind of Blue	5.00 stars
3.00 stars	The Jimi Hendrix Experience - Are You Experienced	4.50 stars
3.50 stars	The Kinks - Something Else by The Kinks	5.00 stars
2.50 stars	Led Zeppelin - Led Zeppelin	4.00 stars
3.00 stars	Amon Düül II - Yeti	4.50 stars
3.00 stars	Magazine - Real Life	4.50 stars
4.00 stars	Devo - Q: Are We Not Men? A: We Are Devo!	2.50 stars
3.50 stars	Joy Division - Unknown Pleasures	5.00 stars
2.50 stars	The Stone Roses - The Stone Roses	4.50 stars
3.00 stars	Burzum - Filosofem	5.00 stars
3.00 stars	Elliott Smith - Either / Or	4.50 stars
3.00 stars	Sigur Rós - Ágætis byrjun	4.50 stars
3.50 stars	Godspeed You Black Emperor! - Lift Yr. Skinny Fists Like Antennas to Heaven!	5.00 stars
3.00 stars	Sleep - Dopesmoker	4.50 stars
2.50 stars	Lisabö - Ezlekuak	4.00 stars
3.00 stars	ROME - Flowers From Exile	5.00 stars
3.50 stars	Titus Andronicus - The Monitor	5.00 stars
5.00 stars	Women - Public Strain	3.50 stars
3.50 stars	Frank Ocean - channel ORANGE	2.00 stars
3.00 stars	Wild Nothing - Nocturne	1.50 stars
3.00 stars	Kanye West - Yeezus	1.00 stars
4.00 stars	Fuck Buttons - Slow Focus	1.50 stars
3.50 stars	Darkside - Psychic	1.50 stars
4.00 stars	Fennesz - Bécs	2.50 stars
4.50 stars	Total Control - Typical System	3.00 stars
3.50 stars	Run the Jewels - Run the Jewels 2	2.00 stars
3.50 stars	Dick Diver - Melbourne, Florida	5.00 stars
3.50 stars	Holly Herndon - Platform	2.00 stars
3.50 stars	Carly Rae Jepsen - E·MO·TION	2.00 stars
3.50 stars	Aesop Rock - The Impossible Kid	1.50 stars
3.00 stars	Jessy Lanza - Oh No	1.50 stars
5.00 stars	Mitski - Puberty 2	3.50 stars
5.00 stars	Frank Ocean - Blonde	2.50 stars
4.00 stars	IDLES - Brutalism	2.50 stars
4.00 stars	Hoops - Routines	2.50 stars
5.00 stars	Alex Cameron - Forced Witness	3.00 stars
5.00 stars	Amen Dunes - Freedom	3.50 stars
3.50 stars	Iceage - Beyondless	2.00 stars
3.50 stars	Deafheaven - Ordinary Corrupt Human Love	2.00 stars
3.50 stars	Perfume Genius - Put Your Back N 2 It	2.00 stars
4.50 stars	Smith Westerns - Dye It Blonde	3.00 stars
3.50 stars	The Sonic Youth - Sister	5.00 stars
4.50 stars	Total Control - Laughing at the System	3.00 stars
3.00 stars	The Velvet Underground - Loaded	4.50 stars
4.00 stars	Wax Idols - Discipline & Desire	1.50 stars
Glitchwave Queues RYMzilla FAQ ToS Privacy / Consent  Updated 14/Mar 2019 Contact/Feedback Advertise Help/Wiki  Like us  Follow us
